N�;Localite;Longitude;Latitude;Prof_Tle;Debit
370;NAKI-EST;"00°23'1""E";"10°44'0""";;
371;TAMONDJOARE;"00°20'1""E";"10°53'2""";43,44;5,657
372;GNIYARGOU;"00°24'0""E";"11°02'0""";44,68;0,72
373;NAMOUNDJOGA;"00°25'0""E";"10°52'3""";44,92;2,16
374;NAMOUNDJOGA;"00°23'5""E";"10°53'2""";44,85;12,8
375;KANKANGOU  I;"00°21'5""E";"10°40'2""";89,94;0
376;BIAGOU;"00°20'5""E";"10°41'2""";89,24;0,72
377;DJAMONBAGOU;"00°22'1""E";"10°43'3""";140,1;0
378;GALBAGOU;"00°27'5""E";"10°45'1""";51,13;0,7
379;GALPOLI;"00°28'1""E";"10°45'0""";42,15;8,742
380;KOUAMPANTE;"00°30'1""E";"10°44'3""";42,12;15,3
381;NATONGOU  II;"00°39'2""E";"10°46'5""";47,85;1,457
382;SAGUIDJOAGA;"00°40'5""E";"10°40'5""";49,81;1,654
383;KONTENGA;"00°43'3""E";"10°49'0""";59,85;1,02
384;NANTCHABKA;"00°40'2""E";"10°53'1""";113,03;0
385;KOUNDJOARE;"00°38'3""E";"10°56'3""";75,03;0,7
386;KOUNDJOARE;"00°38'4""E";"10°56'3""";60,97;1,53
387;TAMBATE;"00°38'4""E";"10°56'2""";80,85;0,7
388;KPENKANKANDI;"00°38'1""E";"10°59'3""";48,61;1,974
389;TAMBIMA;"00°36'1""E";"10°57'2""";64,77;0,72
390;KPAKPORGA;"00°45'3""E";"10°55'1""";60,83;0,7
391;NANTCHABKA;"00°40'2""E";"10°53'1""";54,83;0,7
392;TIMBENDI;"00°48'0""E";"10°49'1""";100;0
393;TOLONGOU  II;"00°49'1""E";"10°51'0""";45,5;1,542
394;KOUMPALI / TINDRIGOU;"00°46'5""E";"10°46'0""";35,91;0,8
395;DOUANLI;"00°50'5""E";"10°48'4""";157,48;0
396;BOMBENGOU;"00°30'5""E";"10°44'2""";48,7;2,88
397;NAYEGA;"00°24'5""E";"10°44'2""";48,64;1,928
398;NAYEGA;"00°24'3""E";"10°45'1""";109,73;0
399;BONTOGBANGBANGOU;"00°29'3""E";"10°43'4""";115,77;0,278
400;NAYEGA;"00°24'3""E";"10°45'1""";115,6;0
401;DJAMONBAGOU;"00°21'1""E";"10°43'3""";115,95;0
402;KANKANGOU  I;"00°21'5""E";"10°40'2""";116,85;0
403;TOPIENGA;"00°23'3""E";"10°57'1""";35,89;7,2
404;KOUTIDJOAGA;"00°22'5""E";"10°56'4""";35,89;7,2
405;NAYEGA;"00°24'3""E";"10°45'5""";44,89;0,705
406;SOGOU;"00°22'3""E";"10°45'5""";131,48;0,7
407;NALOUATE;"00°22'0""E";"10°55'4""";40,47;12,41
408;NALIENOU;"00°33'2""E";"10°45'3""";61,55;32,4
409;YIAGMOU;"00°39'3""E";"10°42'2""";79,8;1,7
